Value00,Value01,Value02,Value03,Value04,Value05,Value06,Value07,Value08,Value09,TGT0,TGT1,TGT2,TGT3
-0.84,-0.13,-0.08,-0.7,1.16,0.17,1.58,0.57,1.83,0.43,303.15,277.67,236.48,218.33
0.83,-0.07,0.94,-0.37,0.3,1.57,-0.5,0.69,0.8,0.01,262.95,253.69,283.78,427.5
0.54,-1.09,1.67,-1.26,0.41,1.84,0.28,0.01,-1.02,0.12,180.04,169.21,73.12,169.47
-1.32,0.53,1.93,-1.51,0.48,-0.28,-1.96,1.43,-0.57,-0.11,38.45,36.88,167.05,47.53
0.32,-0.45,-0.67,0.5,0.73,-0.47,-0.41,0.3,1.03,0.89,97.63,186.72,186.49,195.9
1.24,0.03,0.38,2.13,0.1,0.21,0.08,-0.49,-0.12,-0.4,117.06,212.41,236.17,342.43
-1.06,-0.56,2.21,0.91,-1.8,1.61,-0.68,1.01,0.53,0.23,210.3,210.24,338.08,397.21
2.15,1.42,1.63,1.04,-1.11,-0.56,1.53,-1.94,0.19,-0.79,181.67,238.43,282.25,359.38
0.11,-0.01,-1.88,-1.38,2.13,-1.38,-2.15,1.16,-0.46,-0.16,-132.34,-98.77,-77.03,-184.85
1.93,0.49,-1.01,0.05,0.22,-1.41,1.25,-0.2,-0.91,-0.49,106.66,95.79,95.79,29.21
-0.22,1.24,0.8,1.04,-1.53,0.37,-0.72,-0.29,0.11,-0.53,127.24,96.53,201.77,257.82
-0.64,0.37,-0.44,-0.21,0.75,0.67,0.87,-1.05,-0.87,1.16,229.77,166.87,-8.29,17.64
-1.17,-0.27,-1.27,-1.48,1.52,-0.13,0.76,1.22,-0.19,-0.17,150.19,45.03,-10.88,-117.83
-0.64,-0.35,1.27,0.5,-0.18,0.08,1.76,-0.5,0.64,-0.39,160.77,189.74,182.29,162.63
1.28,-2.72,-0.41,1.54,-0.5,0.6,0.94,0.21,-0.66,0.45,45.68,148.87,83.82,142.9
-0.01,0.92,0.39,-0.15,-0.14,0.1,-0.54,0.81,0,0.77,259.2,218.69,275.2,258.43
-0.87,0.57,-0.18,-1.58,2.63,-0.38,0.46,-0.19,0.2,-0.58,84.28,65.6,-10.22,-74.58
-0.18,0.15,1.09,1.07,-0.84,0.69,-0.39,-1.04,0.3,-0.06,83.14,133.51,133.95,231.24
0.23,0.09,1.61,-0.84,1.51,0.24,-1.1,-0.98,-1.52,0.05,-4.63,62.74,-12.48,8.63
-0.42,-2.66,1.03,0.77,-0.91,0.55,0.86,-0.05,0.22,1.51,97.36,197.93,135.24,122.99
0.6,-0.04,-0.22,-0.87,1.15,0.6,-0.74,-1.2,-0.47,-1.38,-86.96,-87.19,-156.36,-50.02
0.39,2.16,-0.24,-0.04,0.88,0.59,-0.5,-0.85,-0.54,-0.57,207.29,122.5,85.92,192.18
-1.23,-0.68,0.13,0.73,1.14,-0.58,0.4,-0.31,0.06,-0.87,-61.56,4.09,-18.08,-71.34
-0.07,0.87,1,0.32,0.03,-0.33,0.05,0.47,0.31,-0.85,142.36,151.8,261.83,232.06
-0.51,2.59,-0.52,0.61,0.66,1.37,0.37,-0.3,-1.72,-1.85,274.11,54.47,40.46,135.9
-1.46,0.44,0.89,-0.28,0,-1.04,0.2,-0.66,0.26,-1.28,-83.92,-66.69,-13.89,-120.3
0.15,-0.26,0.32,-0.75,-1.41,-0.67,-0.15,-0.52,-0.74,-0.21,-55.69,-61.67,-45.02,-123.4
1.11,-1.75,1.47,-0.77,-0.04,0.62,0.4,-0.07,0.62,0.28,87.73,179.52,164.51,215.63
-1.31,0.42,0.13,1.3,-0.14,0.12,-1.2,-0.05,0.66,-0.2,22.08,69.16,117.52,158.49
-1.52,-0.06,-0.8,-0.72,-0.02,1.41,-0.03,0.57,0.74,0.72,244.13,134.14,60.01,107.43
1.42,0.99,0.47,0.14,1.86,1.14,-0.3,0.67,-0.97,0.59,377.42,363.6,314.55,428
-0.79,1.06,0.2,-1.59,-0.22,1.21,0.68,0.06,-1.06,-0.17,284.09,82.06,25.06,18.84
0.09,0.42,0.83,1.31,-0.2,-0.2,-1.01,-0.48,0.05,0.43,66.35,164.76,200.1,238.49
1.1,-0.65,0.02,-0.59,-0.39,0.2,1.89,0.11,0.41,1.45,335.55,315.41,246.02,246.62
0.18,-0.95,1.2,0.42,1.41,-0.54,1.73,0.26,-2.11,-0.55,100.65,140.48,91.82,-13.8
-2.58,0.33,0.37,-1.33,-1.39,1.27,-0.84,0.18,-0.77,-0.27,70.75,-105.63,-118.4,-147.33
0.47,0.66,1.46,-1.6,2.15,0.17,0.11,0.04,0.63,-0.65,177.51,204.03,208.49,235.26
-0.4,-1.01,-1.14,1.25,-0.09,-0.41,0.56,0.15,0.69,-0.68,-21.54,23.05,38.01,28.52
-0.88,-1.06,-0.63,1.08,-0.24,-0.86,0.7,0.05,-1.79,-0.22,-53.38,-55.62,-80.19,-214.27
-0.54,0,-1,0.01,-0.12,0.36,-1.7,-0.7,-0.53,-1,-155.17,-176.91,-200.45,-136.18
1.23,-0.98,0.76,-0.78,1.4,-0.07,1,-1.06,-0.14,0.68,105.11,206.52,70.6,96.33
1.22,-0.05,0.66,-1.19,-0.31,-0.63,-1.09,1.39,2.83,0.21,124.75,225.19,397.21,407.13
-0.41,0.59,0.93,1.66,0.46,2,-1.29,-0.5,0.28,-0.29,178.25,199.27,191.54,411
0.62,1.23,0.6,0.11,0.07,-0.76,-0.1,-1.11,-0.69,-1.43,-18.84,-16.82,29.25,27.49
0.46,-1.09,0.11,1.78,-0.27,1.4,0.03,1.3,0.26,-0.63,187.61,204.7,274.41,391.06
0.13,-0.26,-0.35,1.63,-1.02,0.07,-0.14,0.6,0.15,0.82,177.18,204.75,247.32,265.59
1.13,0.81,-0.17,-0.25,0.3,0.25,-0.67,1.08,0.1,0.8,298.59,268.64,313.56,348.35
-0.36,-0.18,-0.01,1.91,-0.3,1.05,-1.89,0.96,-0.42,0.25,98.91,133.05,196.9,302.02
0.11,-0.18,-0.55,-1.21,1.55,-2.2,1.54,0.73,1.1,-0.18,79.72,129.48,163.18,-37.17
-0.24,0.81,-0.28,-1.45,1.26,0.76,-1.69,0.14,-0.99,-1.63,-36.52,-117.06,-116.95,-69.71
1.91,-0.18,1.32,0.15,-0.93,-2.54,-1.03,1.01,0.09,-1.65,-188.03,-26.38,255.59,113.48
0.68,-0.2,-0.04,-0.56,0,1.69,-2.16,0.53,0.35,-1.23,-5.26,-18.15,39.55,215.67
-0.36,-0.44,1.67,1.33,-0.24,1.08,-2.03,0.28,-0.12,0.67,79.39,185.95,235.1,345.85
-0.06,-0.82,0.37,0.31,0.89,0.14,-1.5,0.65,0.43,0.82,46.51,165.39,183.53,208.86
0.64,0.94,0.44,-1.49,0.17,1.12,2.38,-1.32,-0.46,-0.91,302.15,145.85,25.37,102.24
0.47,0.82,-0.69,0.38,-0.07,0.36,-0.46,-1.32,-0.54,-0.75,13.96,-10.75,-63.29,33.82
-0.16,-1.15,1.61,-0.65,-1.46,-0.92,0.95,-1.49,1.29,1.19,10.95,125.87,92.51,34.8
0.74,1.43,-0.72,-1.15,-0.4,0.37,0.67,1.27,0.07,-0.31,363.12,183.86,252.38,243.96
0.6,0.73,0.29,0.07,-0.28,-0.87,0.67,-0.18,-0.28,1.34,253.26,258.63,247.38,181.59
-0.95,0.01,0.93,0.78,0.23,0.84,-1.06,-1.03,-1.38,1.29,94.91,130.72,17.68,77.63
-0.06,-0.47,1.25,-0.97,0.7,-0.39,-1.06,0.57,-0.27,2.13,152.08,243.69,217.48,149.73
-0.22,-0.16,1.03,-1.59,0.06,0.2,-0.16,-0.17,-1.16,-0.31,38.4,-8.35,-36.35,-77.46
0.22,-0.25,-0.22,0.16,0.44,0.66,-0.34,-0.53,-0.96,-0.87,4.38,-11.81,-63.85,-2.58
-1.12,-0.46,-0.95,-1.69,-0.89,1.45,0.27,-0.03,1.68,1.21,240.88,129.78,22.33,81.85
-0.82,1.2,-0.3,0.72,1.11,1.59,-0.58,1.42,0.77,-2.63,181.5,84.17,197.45,328.44
1.95,-0.44,-1.42,-1.05,-1.71,0.78,-0.51,-1.61,-0.21,-1.25,-121.08,-177.13,-232.5,-83.12
1.52,-0.44,-1.21,0.21,-0.24,-2.56,-0.38,1.18,-0.63,1.08,9.43,96.51,176.96,-9.14
0.33,0.94,-0.29,-0.53,-0.09,1.95,0.3,-0.31,-2.03,-0.47,269.53,79.26,-9.77,99.09
-1.53,1.55,-1.55,2.07,0.58,-0.51,-0.94,-0.16,0.59,-0.16,93.79,76.39,97.27,116.86
-0.58,-0.49,-0.36,0.16,-0.25,-0.06,0.83,-0.34,-1.56,-0.72,-0.58,-51.9,-104.36,-166.91
1.28,-2.19,-1.11,0.89,1.14,-1.63,0.29,0.74,1.01,0.79,-39.07,169.65,174.21,100.05
-0.8,-2.18,2.54,0.45,0.18,-0.38,1.08,1.28,0.05,0.29,90.69,226.53,298.98,161.35
0.79,-0.13,1.53,-1.27,-0.04,1.22,0.65,1.03,-1.77,-0.18,281.11,182.72,199.25,181.88
1.08,-0.41,-0.76,0.39,-0.68,-1.88,1.34,0.2,1.19,0.42,91.28,170.03,228.27,125.68
0.66,-1.08,0.07,-0.36,0.98,-0.42,-1.78,1.61,-0.2,0.55,0.32,116.49,174.31,135.55
-1.51,-0.55,1.66,1.91,0.9,-0.7,-0.69,0.39,0.1,1.65,111.65,292.42,312.39,236.58
0.44,-0.57,-0.59,0.29,2.18,0.1,-0.33,2.55,-0.44,1.03,293.77,324.95,338.28,296.74
-0.65,0.68,0.32,0.92,0.86,-0.69,-1.03,-0.46,0.02,-0.8,-53.86,24.34,68.01,66.54
2.5,0.24,1.26,0.19,0.33,-1.67,0.33,1.03,-0.4,-1.08,78.93,186.99,372.46,270.29
-1.59,0.53,0.16,0.72,-0.17,0.45,0.27,0.92,0.93,2.2,408.2,376.52,366.39,334.89
0.99,-0.02,0.49,0.49,-0.84,-1.32,-1.36,0.19,1.7,-0.27,-66.73,81.58,251.71,248.06
1.11,0.42,0.3,1.67,0.61,-0.6,1.43,0.03,-0.85,0.44,270.67,325.88,306.53,292.13
-1.09,-0.33,1.05,-0.21,0.91,0.89,2.8,-0.36,2.15,-1.15,274.9,248.6,201.7,256.53
-0.8,0.11,-0.23,0.35,0.29,-1.17,-1.24,-0.55,-0.35,0.1,-122.65,-41.82,-50.13,-113.96
-1.37,0.43,-0.14,-0.62,-0.19,-0.81,-1.16,-0.53,0.46,0.13,-70.26,-64.64,-48.72,-115.1
0.39,-0.39,-2.77,0.4,1.96,-0.12,-0.65,-2.03,2.06,0.49,-71.07,38.72,-149.58,16.85
-0.8,0.72,-1.31,2.17,0.56,0.23,0,-0.01,-2.37,1.19,223.77,170.81,65.45,50.6
0.6,-0.42,0.7,-0.44,-0.64,1.99,1.74,-0.37,0.14,0.02,333.86,248.03,167.01,289.73
-1.08,-0.22,0.37,-0.16,0.44,1.05,0.7,-0.03,-0.36,-0.64,145.61,73.42,22.66,44.71
-0.82,0.16,-0.67,0.18,-0.05,0.72,0.6,2.19,0.04,0.18,346.73,221.52,285.22,237.79
0.28,-1.02,-0.29,0,-1.71,-0.55,-0.47,-0.53,0.09,0.31,-90.78,-41.77,-27.8,-57.88
0,-0.56,0.61,-0.36,-1.59,0.18,-1.06,-0.47,0.27,0.03,-55,-23.29,31.81,47.81
-0.33,0.06,-2.09,1.26,0.04,-2.12,1.46,0.46,0.28,1.48,179.99,196.94,168.46,-0.82
-2.08,1.4,-0.4,-0.47,0.78,-1.13,-1.19,-0.17,-0.75,-0.78,-80.95,-131.34,-103.94,-223.94
-0.96,-0.7,-1.71,-1.53,0.05,-0.48,-0.08,0.7,0.93,-0.77,-67.08,-130.28,-117.7,-198.09
-0.59,0.55,-0.12,0.01,0.34,0.2,-0.9,1.06,-1.02,0.1,143.23,90.56,126.35,93.54
0.42,0.14,0.23,0.6,1.1,-0.48,0.34,-0.64,0.01,1.41,188.04,288.58,199.1,202.84
0.18,2.41,-0.98,-0.52,-0.44,-0.79,-0.5,-2.29,0.25,-0.96,-16.51,-89.59,-116.65,-77.53
0.16,0.85,-0.97,0.13,0.36,0.12,0.21,-0.75,0.87,-0.72,101.04,71.79,54.75,122.02
0.24,0.3,-0.8,-2.25,-0.81,-0.91,0.44,-1.46,0.8,0.28,-5.52,-55.66,-126.75,-174.37
0.14,-0.75,0.22,0.5,1.24,0.66,-2.19,-0.2,-0.64,-0.96,-158.9,-48.68,-54.68,47.18
-0.31,0.42,1.7,-0.08,-0.27,-0.53,-1.75,1.03,0.15,1.28,139.51,219.53,340.59,275.62
-1.19,0.96,-1.93,2.95,-0.14,1.45,0.19,0.57,1.31,0.32,363.33,280.93,273.25,437.71
-0.73,-1.45,-0.28,-1.51,0.97,-0.75,-0.76,-1.3,-0.8,2.62,-67.78,25.04,-192.88,-283.38
-0.55,-0.33,1.09,-1.88,-0.08,-0.77,1.22,-0.84,1.81,0.6,103.47,135.17,110.98,30.28
0.73,-0.94,1.16,0.6,-0.23,-0.49,-2.58,0.33,1.01,-0.32,-170.74,25.98,169.8,228.54
0.76,1.06,-2.28,0.18,-1.4,0.84,-0.6,0.42,0.54,-1.24,124.17,-22.29,42.92,160.3
0.24,0.41,0.18,0.44,-0.8,0.09,0.29,-1.15,-0.36,-0.2,73.41,70.99,36.06,75.59
-0.2,0.16,-0.4,0.03,0.21,0.29,-0.62,-0.55,0.34,0.8,108.4,117.81,60.43,117.84
-0.84,-0.71,1.47,1.19,0.79,-0.48,0.12,-0.05,0.22,-0.46,0.13,129.65,165.5,126.03
-0.79,0.64,1.18,-0.28,-0.65,-1.23,0.25,0.11,2.42,-0.13,110.17,157.44,300.06,222.03
0.18,0.87,-0.24,-0.04,-1.28,-1.19,-0.2,-1.27,1.59,0.42,30.75,68.06,104.34,95.66
-1.6,1.77,1.02,-1.59,0.05,0.38,-1.82,-1.47,-0.26,1.08,94.44,37.24,-49.15,-26.49
-0.13,0.56,-1.14,-1.18,1.75,0.72,-0.77,-1.82,0.3,0.01,14.06,-4.34,-185.35,-55.82
-0.48,1.24,-0.49,0.07,0,0.43,1.68,-0.17,1.19,-0.2,344.76,233.1,213.64,252.54
0.4,-2.44,-0.08,0.96,0.64,0.92,-0.02,-0.81,1.82,-0.17,-70.22,104.69,33.3,191.46
0.94,0.96,-0.76,-0.25,-0.94,-0.5,0.55,-0.4,0.59,-0.95,92.74,40.69,93.42,110.54
-0.01,0.9,-0.66,-1.04,1.5,-0.23,0.76,1,-0.33,-0.97,200.98,104.12,109.25,54.94
0.17,0.53,-0.19,2.23,0.95,1.29,0.94,-0.86,-1.3,-1.24,180.9,157.34,68.92,227.21
-0.66,-1.2,-0.69,0.04,1.49,1.08,0.25,0.04,-0.59,-0.26,58.66,53.14,-70.16,-24.3
-0.37,0.4,-0.12,-0.69,0.47,0.25,-0.45,0.82,1.36,-0.92,107.94,81.41,161.82,182.31
0.17,-0.22,-0.04,-0.03,-0.81,-0.88,1.48,-1.23,1.14,-0.56,15.23,51.3,39.83,9.44
-1.8,-0.01,0.32,-0.01,1.61,-0.22,-1.26,0.9,-3.01,0.7,29.75,18.57,-39.93,-183.93
0.65,-0.91,0.36,1.71,-0.12,-2.2,2.55,-2,0.43,-0.18,-40.42,122.98,68.82,-18.24
0.68,1.13,0.53,-0.26,0.18,0.55,-1.83,1.4,1.37,-0.08,219.57,233,380.04,475.35
-0.05,0.74,-0.25,-0.78,-1.74,-0.15,0.38,1.25,0.22,0.78,298.16,184.11,260.13,174.58
-0.18,-0.17,-0.18,-0.1,-2,-0.45,-0.84,0.94,0.45,-0.22,15.85,-13.63,126.18,68.18
-0.23,-1.58,-0.15,-2.81,-0.48,1.57,0.9,-0.63,0.47,0.24,95.36,-3.48,-153.31,-110.31
-1.34,0.15,0.52,1.49,0.61,0.42,0.48,-1.36,-0.04,0.53,127.12,171.08,66.05,118.1
-0.58,0.33,0.25,-0.94,-1.82,2.01,-0.92,0.94,-0.85,-0.43,194.66,8.31,59.4,121.44
-0.41,0.45,0.12,0.27,-0.03,0.18,0.24,-0.88,0.08,0.15,122.99,104.84,61.56,91.5
-0.51,1.04,1.12,-0.28,-0.17,-0.59,1.39,-2.01,0.59,0.02,126.97,126.45,72.03,61.4
-1.34,0.73,-0.75,-0.36,0.31,0.83,-2.31,0.03,1.98,0.64,85.93,77.89,84.54,196.09
0.1,0.2,0.89,0.56,-0.42,-1.82,0.23,-0.05,0.24,0.54,56.07,152.96,239.59,106.02
-0.4,-0.82,-0.32,-2.31,-0.34,1.82,-0.06,-0.33,0.91,-0.91,42.95,-68.67,-133.32,-20.81
-0.33,-0.24,2.44,1.07,-1.4,1.67,1.16,-0.06,0.79,-0.43,294.26,285.06,348.41,455.94
-1.24,-0.24,-0.08,0.1,-0.51,0.35,-1.23,-0.79,0.08,-0.05,-71.59,-69.08,-91.73,-60.08
0.58,-1.68,-0.14,0.11,-1.29,1.38,1.86,-1.24,-1.61,-0.98,31.34,-50.9,-171.79,-107.73
-0.21,0.6,-0.17,0.11,-0.27,-1.47,-1.86,0.97,-0.98,-0.32,-78.71,-54.96,83.26,-54.03
-0.9,2.08,0.8,-0.07,1.01,0.71,-0.97,-0.14,0.92,1.14,348.87,318.97,300.64,389.78
0.83,0.32,0.35,-0.75,0.27,0.78,-1.29,0.62,0.66,-0.86,80.13,91.15,163.03,260.91
0.94,-0.21,-0.43,0.02,0.06,0.36,-1.61,-0.37,0.49,0.3,0.22,71.83,62.76,174.76
-0.02,-0.94,-0.3,0.7,-1.1,-1.05,-0.84,0.25,0.61,-0.1,-108.01,-20.8,78.19,13.45
1.94,0.73,0.19,0.33,0.9,-0.51,-0.92,0.18,-0.82,0.87,169.55,251.11,260.54,282.25
1.19,-0.89,0.66,-1.91,-0.15,1.06,-0.1,0.03,-0.11,-0.15,97.12,75.14,43.12,102
-0.29,-0.1,0.68,-0.7,-0.7,-0.46,1.33,1.02,-0.55,-0.8,151.7,77.16,162.62,27.84
0.78,-0.45,1.65,0.4,0.25,-0.05,-1.48,1.71,-1.73,-0.97,4.18,69.54,224.36,189.41
-0.99,-0.8,-0.32,-0.4,0.6,-0.86,-0.4,0.68,0.05,-1.04,-119.18,-92.1,-38.1,-142.27
-0.91,-0.78,-1.5,0.47,0.37,-0.7,0.73,1.87,0.05,0.57,172.17,144.91,159.46,24.92
0.17,-0.32,0.35,-1.29,-0.28,-0.08,0.77,0.65,-1.53,-0.6,99.05,11.33,23.5,-80.16
-1.14,0.17,-0.38,-0.13,0.12,-0.56,0.97,2.43,2.03,-1.15,220.48,160.76,337.34,227.15
0.97,-1.12,0.66,-0.44,-3.74,-0.34,1.18,-0.1,-0.42,0.28,68.52,21.88,101.34,9.27
-0.21,2.07,1.75,0.51,-0.94,1.04,-1.44,-1.64,-0.83,-1.22,54.63,18.33,61.31,197.6
0,-0.02,0.6,0.55,0.44,-0.86,-1.81,-1.99,-1.54,1.06,-159.51,-18.59,-116.41,-116.89
-0.14,1.07,1.16,-0.16,-0.51,-2.89,0.63,0.34,-0.31,0.22,62.45,121.71,263.93,-1.01
-0.83,-1.52,0,-0.79,-0.16,-0.04,-0.6,-1.26,0.03,0.42,-166.15,-93.04,-193.61,-206.67
0.94,-0.98,-0.06,0.33,-0.03,-0.66,-0.6,0.13,0.79,0.21,-30.44,102.63,144.41,149.69
0.24,-0.85,-0.29,-2.58,-1.45,0.37,1.22,0.78,0.81,1.53,287.64,169.25,138.83,60.11
-1.18,0.43,0.39,-0.9,-0.51,0.3,-0.03,-0.63,-0.36,0.07,86.19,5.6,-33.32,-61.08
0.74,-1.59,1.42,-0.24,-0.7,-0.49,-0.52,0.63,0.64,-1.43,-146.37,-23.03,131.51,90.89
0.46,-0.08,-1.3,-0.58,0.82,0.02,1.21,-0.23,0.8,0.22,196.85,159.27,67.98,95.08
-0.06,0.48,0.04,1.49,0.5,0.5,0.54,1.72,0.71,-0.12,352.88,340.72,428.86,461.66
0.19,-0.11,-0.57,-0.24,0.83,0.63,0.68,-1.84,-0.25,0.1,69.05,53.13,-109.3,-6.06
-0.5,0.66,-0.07,-1.63,-0.99,0.07,-0.02,-0.1,-0.12,0.52,151.54,41.05,25.29,-26.93
-2.6,-0.48,-0.35,-1.09,-1.85,0.75,0.2,1.36,0.7,0.21,158.48,-16.29,43.11,-62.84
0.49,-1.76,-1.43,-0.91,-1.25,0.19,-0.46,1.67,1.49,-1.28,-62.73,-95.69,24.1,31.88
-0.21,0.85,0.42,0.59,1.44,0.79,0.14,0.56,0.62,-0.16,302.64,293.52,298.07,380.31
-0.8,-0.31,-0.03,-1.1,1.58,0.52,-0.57,1.27,0.5,0.27,162.91,151.82,141.96,119.9
1.97,-0.01,-0.34,-2.21,1.47,1.49,-0.93,0.28,-0.35,-0.99,109.13,44.31,10.05,157.49
-0.14,1.63,0.46,-0.84,-0.27,-2.35,-0.79,-0.78,-1.33,-0.28,-86.75,-84.88,-18.77,-204.47
-2.1,0.25,1.52,0.83,1.76,0.98,0.96,-0.57,-0.98,1.18,296.11,307.98,149.75,151.38
1.31,0.21,1.36,-0.28,0.37,1.18,-0.27,0.11,0.04,-1.2,149.48,159.25,208.93,346.39
-0.26,-0.07,-1.01,-0.75,-0.75,0.41,-1.24,0.54,-0.36,0.22,33.73,-22.73,-17.19,-21.26
0.36,-1.35,-0.13,0.83,0.22,0.77,-0.34,-0.06,-1.24,-1.3,-86.7,-56.26,-71.82,-8.14
-0.34,-1.46,0.65,0.82,-1.18,-1.42,1.83,1.45,-0.57,-0.45,54.47,91.87,209.38,-4.29
-0.99,1.25,-0.42,1.02,-0.45,0.7,0.2,-0.21,-0.56,0.7,294.88,191.83,144.12,181.25
-0.61,1.94,1.33,0.17,-0.05,0.38,0.4,0.21,1.16,-1.45,253.87,191.24,315.57,364.81
0.69,-2.32,0.2,-1.03,0.66,-0.39,0.96,0.78,0.84,-1.44,-91.27,-9.39,30.92,-24.41
0.48,-0.56,0.58,1,0.44,0.29,-0.98,1.43,-0.38,-1.64,-10.24,56.57,193.51,219.62
0.77,-0.36,-1.83,0.45,0.04,-1.12,0.59,-0.13,1.13,-0.81,-35.34,9.86,33.47,16.3
-1.25,-0.97,0.72,-1.15,-0.94,0.16,0.98,-1.34,1.06,-0.92,-76.87,-82.58,-126.19,-143.68
0.07,0.32,1.29,1.51,0.19,-0.25,-0.18,-1.16,0.26,0.47,92.19,220.51,209.2,263.52
0.03,0.72,-2.19,-0.1,0.69,-1.09,2.45,-0.89,-0.94,0.21,192.9,79.23,-67.12,-163.03
2.19,-0.09,0.54,0.1,0.09,-0.39,0.98,1.21,-1.41,0.25,277.36,277.52,335.07,271.72
0.84,-0.03,-1.95,-1.39,0.3,1.01,0.25,-0.04,1.96,-1.56,78.43,-12.66,-35.2,113.89
0.36,1.78,1.29,1.38,0.92,-0.37,-2.61,-0.65,0.19,1.12,112.67,259.61,318.99,399.18
0.32,0.54,0.12,2.32,0.53,-0.38,0.43,-0.29,-1.74,0.73,195.56,245.57,204.53,199.26
-0.68,2.04,-0.51,-1.56,0.84,-0.58,-0.99,-1.69,0.73,0.04,28.56,-11.81,-72.48,-63.48
0.36,-0.19,0.5,-1.32,0.31,-0.16,0.31,-0.74,-0.06,1.24,141.12,161.18,59.21,43.96
0.94,-1.03,-1.44,0.89,-1,-1.19,0.03,1.76,-0.05,-0.96,-35.65,-11.83,145.73,46.35
-0.64,0.11,-1.97,0.25,-0.39,-0.77,-0.34,-0.77,-0.08,0.69,-15.71,-39.84,-101.89,-157.2
0.27,-0.25,-1.54,0.55,-1.26,-1.03,1.29,1.76,0.85,0.34,236.25,177.64,280.3,168.57
-0.84,-1.37,-0.63,0.94,-1.79,0.46,0.46,-0.75,-0.8,-0.15,-51.26,-80.48,-143.82,-139.69
0.11,-0.43,-0.46,0.07,0.45,0.46,0.03,-0.53,-0.11,1.42,166.08,185.72,71.56,114.98
-0.46,-0.77,0.45,-0.11,0.1,0.02,-0.86,-0.1,-0.23,0.71,7.8,60.93,40.62,29.09
2.93,-0.05,-0.7,-0.94,-1.38,-1.82,0.57,0.24,-0.15,-1.06,-25.83,-17.9,106.62,18.5
-1.52,-0.26,1.02,0.99,0.78,-1.26,-0.12,-0.89,0.88,-0.48,-107.78,30.62,57.36,-13.99
0.48,0.06,-0.35,-0.96,-0.46,0.23,-1.54,-0.6,-0.24,0.16,-33.65,-34.72,-60.18,-5.97
0.28,-1.16,0.84,-1.58,-1.21,-0.51,-0.28,1.74,-0.29,-1.62,-85.91,-108.6,80.24,-50.4
-0.65,-0.05,1.23,-0.04,0.03,-0.75,0.99,-0.3,-0.98,1.2,180.49,201.91,152.36,23.33
-0.22,0.57,-0.43,-0.11,1.08,0.66,-0.58,-0.6,-0.22,-0.49,74.58,45.86,-13.39,69.45
0.08,0.62,-0.95,0.43,1.2,0.88,-1.17,-0.31,-0.52,0.89,177.91,165.84,56.66,161.09
-0.98,0.93,-1.26,1.21,1.84,0.23,0.64,0.05,-1.65,0.79,273.69,212.12,72.38,54.82
0.89,-0.44,-0.34,-0.81,0.42,-1.21,0.04,-0.46,1.43,0.04,-21.61,71.95,80.67,50.08
1.32,-0.14,0.42,-1.56,-0.16,0.54,-0.77,-0.06,0.01,-1.14,-1.87,-19.03,19.32,79.58
0.24,-0.59,0.42,-1.55,-0.94,-1.66,-1.41,0.12,-0.38,-0.11,-202.33,-139.72,-50.66,-200.57
0.73,0.66,-0.62,0.03,0.74,-1.39,-0.83,0.08,-0.89,-0.3,-25.2,16.42,57.57,-21.39
0.27,-0.44,0.61,-0.89,-0.16,1.5,-1.41,0.61,-0.46,-1.26,9.75,-34.66,21.26,112.65
-0.46,0.21,-1.28,-1.01,0.05,0.49,-0.02,1.86,-1.01,-0.68,171.15,16.48,47.65,-14.3
-1.98,-0.55,-1.05,0.53,-0.53,0.37,-0.09,0.45,1.14,0.16,71.29,31.35,26.39,20.27
-0.91,1.08,2.29,0.25,0.38,-1.09,0.81,-0.15,1.13,1.09,280.77,355.96,424.28,326.34
0.9,0.4,-1.3,-1.74,0.61,0.33,-0.13,1.29,-1.51,0.22,224.51,84.99,48.42,-5.88
-0.6,-0.25,0.2,0.51,0.78,1.1,0.19,0.44,-1.18,-0.3,168.81,126.2,84.23,110
0.18,0.02,0.69,-0.28,1.25,-0.39,0.43,0.88,-0.4,-1.58,55.96,74.04,146.03,96.66
-0.34,-0.4,-0.18,-0.91,0.39,-0.9,-0.06,0.84,1.96,0.75,109.98,174.49,217.86,142.99
1.06,0.43,-0.14,0.36,-0.36,0.72,-0.94,1.39,-0.3,-0.41,198.01,163.72,265.67,336.72
-1.08,0.38,0.44,0.54,-0.22,-0.22,0.35,-0.93,-0.18,-0.47,30.02,27.19,12.59,-7.89
0.9,-0.84,-0.03,0.68,-0.17,0.08,-0.2,-1.04,-1.11,0.91,25.77,94.52,6.65,43.82
0.4,1.72,-1.53,-0.13,-1.81,0.19,1.75,-0.86,0.14,-1.33,218.33,12.87,17.16,51.39
0.03,-0.54,1.47,-1.22,0.67,0.9,-0.92,0.62,-0.01,-0.04,101.48,129.07,143.02,179.07
-1.51,-2.08,-0.35,-0.39,3.31,1.91,0.2,-0.41,1.1,-0.01,49.44,119.32,-98.34,45.9
-0.46,1.63,-0.12,-1.81,-0.17,-0.16,0.86,0.42,-0.78,-0.92,222.64,24.57,60.53,-39.61
0.52,1.76,0.07,0.27,-0.49,-0.02,0.47,-1.05,0.26,0.9,304.66,259.15,213.45,276.27
-1.13,-0.22,0.76,-0.05,0.71,-0.12,0.39,-0.4,-0.5,1.49,169.68,205.05,106.37,39.43
0.1,-1.02,0.17,1.15,0.02,0.31,0.23,-1.37,0.87,-0.11,-18.63,88.61,27.42,128.75
